pathway	compound
hsa00220	C00169
hsa00220	C00327
hsa00220	C00437
hsa00220	C00624
hsa00220	C01010
hsa00220	C01250
hsa00220	C03406
hsa00220	C04133
hsa00220	C15532
hsa00220	C20948
hsa00220	C20949
hsa00220	C20950
hsa00220	C20951
hsa00230	C00002
hsa00230	C00008
hsa00230	C00011
hsa00230	C00014
hsa00230	C00020
hsa00230	C00035
hsa00230	C00037
hsa00230	C00039
hsa00230	C00044
hsa00230	C00046
hsa00230	C00048
hsa00230	C00053
hsa00230	C00054
hsa00230	C00059
hsa00230	C00064
hsa00230	C00081
hsa00230	C00086
hsa00230	C00104
hsa00230	C00117
hsa00230	C00119
hsa00230	C00130
hsa00230	C00131
hsa00230	C00144
hsa00230	C00147
hsa00230	C00169
hsa00230	C00206
hsa00230	C00209
hsa00230	C00212
hsa00230	C00224
hsa00230	C00242
hsa00230	C00262
hsa00230	C00286
hsa00230	C00288
hsa00230	C00294
hsa00230	C00301
hsa00230	C00330
hsa00230	C00360
hsa00230	C00361
hsa00230	C00362
hsa00230	C00366
hsa00230	C00385
hsa00230	C00387
hsa00230	C00499
hsa00230	C00559
hsa00230	C00575
hsa00230	C00603
hsa00230	C00620
hsa00230	C00655
hsa00230	C00700
hsa00230	C00802
hsa00230	C00942
hsa00230	C01228
hsa00230	C01260
hsa00230	C01261
hsa00230	C01344
hsa00230	C01345
hsa00230	C01367
hsa00230	C01444
hsa00230	C01762
hsa00230	C02091
hsa00230	C02348
hsa00230	C02350
hsa00230	C02353
hsa00230	C02718
hsa00230	C03090
hsa00230	C03373
hsa00230	C03483
hsa00230	C03614
hsa00230	C03794
hsa00230	C03838
hsa00230	C04051
hsa00230	C04376
hsa00230	C04392
hsa00230	C04494
hsa00230	C04640
hsa00230	C04677
hsa00230	C04734
hsa00230	C04751
hsa00230	C04823
hsa00230	C05239
hsa00230	C05512
hsa00230	C05513
hsa00230	C05515
hsa00230	C05516
hsa00230	C05993
hsa00230	C06193
hsa00230	C06194
hsa00230	C06195
hsa00230	C06196
hsa00230	C06197
hsa00230	C06433
hsa00230	C06435
hsa00230	C11821
hsa00230	C12248
hsa00230	C15667
hsa00232	C00048
hsa00232	C00385
hsa00232	C01762
hsa00232	C07130
hsa00232	C07480
hsa00232	C07481
hsa00232	C13747
hsa00232	C16352
hsa00232	C16353
hsa00232	C16355
hsa00232	C16356
hsa00232	C16357
hsa00232	C16358
hsa00232	C16359
hsa00232	C16360
hsa00232	C16361
hsa00232	C16362
hsa00232	C16363
hsa00232	C16364
hsa00232	C16365
hsa00232	C16366
hsa00232	C21144
hsa00240	C00015
hsa00240	C00029
hsa00240	C00039
hsa00240	C00046
hsa00240	C00055
hsa00240	C00063
hsa00240	C00064
hsa00240	C00075
hsa00240	C00086
hsa00240	C00099
hsa00240	C00105
hsa00240	C00106
hsa00240	C00112
hsa00240	C00119
hsa00240	C00169
hsa00240	C00178
hsa00240	C00214
hsa00240	C00222
hsa00240	C00239
hsa00240	C00295
hsa00240	C00299
hsa00240	C00337
hsa00240	C00363
hsa00240	C00364
hsa00240	C00365
hsa00240	C00380
hsa00240	C00383
hsa00240	C00429
hsa00240	C00438
hsa00240	C00458
hsa00240	C00459
hsa00240	C00460
hsa00240	C00475
hsa00240	C00526
hsa00240	C00672
hsa00240	C00705
hsa00240	C00813
hsa00240	C00881
hsa00240	C01013
hsa00240	C01103
hsa00240	C01168
hsa00240	C01205
hsa00240	C01346
hsa00240	C01368
hsa00240	C01563
hsa00240	C02067
hsa00240	C02170
hsa00240	C02354
hsa00240	C02355
hsa00240	C02376
hsa00240	C02642
hsa00240	C03997
hsa00240	C05281
hsa00240	C05822
hsa00240	C06198
hsa00240	C11038
hsa00240	C11039
hsa00240	C15607
hsa00240	C20231
hsa00240	C20249
hsa00240	C20253
hsa00240	C20254
hsa00240	C20846
hsa00240	C21028
hsa00240	C21029
hsa00250	C00014
hsa00250	C00022
hsa00250	C00025
hsa00250	C00026
hsa00250	C00036
hsa00250	C00041
hsa00250	C00042
hsa00250	C00049
hsa00250	C00064
hsa00250	C00122
hsa00250	C00152
hsa00250	C00158
hsa00250	C00169
hsa00250	C00232
hsa00250	C00334
hsa00250	C00352
hsa00250	C00402
hsa00250	C00438
hsa00250	C00940
hsa00250	C01042
hsa00250	C02362
hsa00250	C03090
hsa00250	C03406
hsa00250	C03794
hsa00250	C03912
hsa00250	C12270
hsa00250	C20775
hsa00250	C20776
hsa00260	C00011
hsa00260	C00014
hsa00260	C00022
hsa00260	C00037
hsa00260	C00048
hsa00260	C00049
hsa00260	C00065
hsa00260	C00078
hsa00260	C00097
hsa00260	C00101
hsa00260	C00109
hsa00260	C00114
hsa00260	C00143
hsa00260	C00168
hsa00260	C00188
hsa00260	C00197
hsa00260	C00213
hsa00260	C00258
hsa00260	C00263
hsa00260	C00300
hsa00260	C00430
hsa00260	C00441
hsa00260	C00546
hsa00260	C00576
hsa00260	C00581
hsa00260	C00631
hsa00260	C00719
hsa00260	C00740
hsa00260	C00986
hsa00260	C01005
hsa00260	C01026
hsa00260	C01102
hsa00260	C01242
hsa00260	C01726
hsa00260	C01888
hsa00260	C02051
hsa00260	C02291
hsa00260	C02737
hsa00260	C02855
hsa00260	C02972
hsa00260	C03082
hsa00260	C03194
hsa00260	C03232
hsa00260	C03283
hsa00260	C03508
hsa00260	C05519
hsa00260	C06231
hsa00260	C06442
hsa00260	C16432
hsa00260	C19929
hsa00270	C00019
hsa00270	C00021
hsa00270	C00022
hsa00270	C00041
hsa00270	C00049
hsa00270	C00051
hsa00270	C00059
hsa00270	C00065
hsa00270	C00073
hsa00270	C00094
hsa00270	C00097
hsa00270	C00109
hsa00270	C00155
hsa00270	C00170
hsa00270	C00197
hsa00270	C00263
hsa00270	C00283
hsa00270	C00409
hsa00270	C00441
hsa00270	C00491
hsa00270	C00506
hsa00270	C00606
hsa00270	C00793
hsa00270	C00957
hsa00270	C00979
hsa00270	C01005
hsa00270	C01077
hsa00270	C01118
hsa00270	C01137
hsa00270	C01180
hsa00270	C01234
hsa00270	C01817
hsa00270	C01962
hsa00270	C02218
hsa00270	C02291
hsa00270	C02356
hsa00270	C02989
hsa00270	C03082
hsa00270	C03089
hsa00270	C03145
hsa00270	C03232
hsa00270	C03539
hsa00270	C04188
hsa00270	C04582
hsa00270	C05524
hsa00270	C05526
hsa00270	C05527
hsa00270	C05528
hsa00270	C05823
hsa00270	C05824
hsa00270	C06547
hsa00270	C08276
hsa00270	C09306
hsa00270	C11481
hsa00270	C11499
hsa00270	C11537
hsa00270	C15606
hsa00270	C15650
hsa00270	C15651
hsa00270	C18049
hsa00270	C19787
hsa00270	C21015
hsa00270	C21016
hsa00280	C00024
hsa00280	C00068
hsa00280	C00091
hsa00280	C00100
hsa00280	C00123
hsa00280	C00141
hsa00280	C00164
hsa00280	C00183
hsa00280	C00233
hsa00280	C00332
hsa00280	C00356
hsa00280	C00407
hsa00280	C00630
hsa00280	C00671
hsa00280	C00683
hsa00280	C01205
hsa00280	C01213
hsa00280	C02170
hsa00280	C02939
hsa00280	C03069
hsa00280	C03231
hsa00280	C03284
hsa00280	C03344
hsa00280	C03345
hsa00280	C03460
hsa00280	C04405
hsa00280	C05996
hsa00280	C05998
hsa00280	C06000
hsa00280	C06001
hsa00280	C06002
hsa00280	C15972
hsa00280	C15973
hsa00280	C15974
hsa00280	C15975
hsa00280	C15976
hsa00280	C15977
hsa00280	C15978
hsa00280	C15979
hsa00280	C15980
hsa00280	C20827
hsa00290	C00022
hsa00290	C00024
hsa00290	C00109
hsa00290	C00123
hsa00290	C00141
hsa00290	C00183
hsa00290	C00188
hsa00290	C00233
hsa00290	C00407
hsa00290	C00671
hsa00290	C02226
hsa00290	C02504
hsa00290	C02612
hsa00290	C02631
hsa00290	C04181
hsa00290	C04236
