pathway	compound
hsa04080	C00584
hsa04080	C00639
hsa04080	C00681
hsa04080	C00696
hsa04080	C00735
hsa04080	C00780
hsa04080	C00788
hsa04080	C01312
hsa04080	C01516
hsa04080	C01598
hsa04080	C01996
hsa04080	C02165
hsa04080	C02166
hsa04080	C02198
hsa04080	C02465
hsa04080	C03758
hsa04080	C04598
hsa04080	C05113
hsa04080	C06124
hsa04080	C06314
hsa04080	C06865
hsa04080	C11695
hsa04080	C12270
hsa04080	C12271
hsa04080	C12272
hsa04080	C15890
hsa04080	C15995
hsa04080	C16511
hsa04080	C16512
hsa04114	C00076
hsa04114	C00410
hsa04114	C00575
hsa04114	C01245
hsa04122	C00019
hsa04122	C00041
hsa04122	C00044
hsa04122	C00097
hsa04122	C00378
hsa04122	C00868
hsa04122	C00979
hsa04122	C05924
hsa04122	C17322
hsa04122	C18237
hsa04122	C18239
hsa04136	C00350
hsa04136	C01194
hsa04136	C04549
hsa04140	C00035
hsa04140	C00044
hsa04140	C00350
hsa04140	C01194
hsa04140	C04549
hsa04140	C05981
hsa04141	C00076
hsa04142	C00002
hsa04142	C00008
hsa04142	C00159
hsa04142	C00275
hsa04144	C00035
hsa04144	C00044
hsa04144	C04549
hsa04144	C04637
hsa04144	C05981
hsa04144	C11556
hsa04145	C04549
hsa04150	C00020
hsa04150	C00062
hsa04150	C00123
hsa04150	C05981
hsa04151	C00020
hsa04151	C00533
hsa04151	C04637
hsa04151	C05981
hsa04152	C00003
hsa04152	C00008
hsa04152	C00020
hsa04152	C00022
hsa04152	C00024
hsa04152	C00031
hsa04152	C00040
hsa04152	C00076
hsa04152	C00083
hsa04152	C00085
hsa04152	C00162
hsa04152	C00354
hsa04152	C00389
hsa04152	C00665
hsa04152	C00668
hsa04152	C00698
hsa04152	C00757
hsa04152	C04677
hsa04152	C05981
hsa04152	C07151
hsa04152	C09731
hsa04210	C00027
hsa04210	C00076
hsa04210	C00319
hsa04210	C05981
hsa04211	C00003
hsa04211	C00020
hsa04211	C00076
hsa04211	C00575
hsa04211	C03582
hsa04211	C05981
hsa04211	C07151
hsa04211	C07909
hsa04213	C00575
hsa04213	C05981
hsa04216	C00010
hsa04216	C00024
hsa04216	C00025
hsa04216	C00032
hsa04216	C00051
hsa04216	C00097
hsa04216	C00127
hsa04216	C00129
hsa04216	C00219
hsa04216	C00356
hsa04216	C00418
hsa04216	C00491
hsa04216	C00669
hsa04216	C02249
hsa04216	C02477
hsa04216	C11378
hsa04216	C14818
hsa04216	C14819
hsa04216	C16844
hsa04216	C21478
hsa04216	C21479
hsa04216	C21480
hsa04216	C21482
hsa04216	C21483
hsa04216	C21484
hsa04217	C00002
hsa04217	C00027
hsa04217	C00076
hsa04217	C00195
hsa04217	C00219
hsa04217	C00305
hsa04217	C00319
hsa04217	C00550
hsa04217	C14592
hsa04218	C00076
hsa04218	C05981
hsa04218	C07909
hsa04218	C16844
hsa04260	C00076
hsa04260	C00080
hsa04260	C00238
hsa04260	C01330
hsa04261	C00076
hsa04261	C00080
hsa04261	C00165
hsa04261	C00238
hsa04261	C00547
hsa04261	C00575
hsa04261	C00788
hsa04261	C01245
hsa04261	C01330
hsa04261	C07056
hsa04270	C00076
hsa04270	C00165
hsa04270	C00212
hsa04270	C00219
hsa04270	C00238
hsa04270	C00533
hsa04270	C00547
hsa04270	C00575
hsa04270	C00942
hsa04270	C01245
hsa04270	C01312
hsa04270	C14748
hsa04270	C14771
hsa04310	C00076
hsa04340	C00575
hsa04360	C00076
hsa04370	C00076
hsa04370	C00165
hsa04370	C00533
hsa04370	C01245
hsa04370	C01312
hsa04370	C05981
hsa04371	C00076
hsa04371	C00080
hsa04371	C00165
hsa04371	C00290
hsa04371	C00533
hsa04371	C00575
hsa04371	C01245
hsa04371	C01330
hsa04371	C06124
hsa04380	C00027
hsa04380	C00076
hsa04380	C01245
hsa04510	C04637
hsa04510	C05981
hsa04530	C00076
hsa04540	C00025
hsa04540	C00076
hsa04540	C00165
hsa04540	C00533
hsa04540	C00547
hsa04540	C00575
hsa04540	C00681
hsa04540	C00780
hsa04540	C00942
hsa04540	C01245
hsa04540	C03758
hsa04610	C00290
hsa04611	C00002
hsa04611	C00008
hsa04611	C00076
hsa04611	C00165
hsa04611	C00219
hsa04611	C00427
hsa04611	C00533
hsa04611	C00575
hsa04611	C00942
hsa04611	C01245
hsa04611	C01312
hsa04611	C02198
hsa04611	C05956
hsa04611	C05981
hsa04614	C00873
hsa04614	C02135
hsa04614	C15848
hsa04614	C15849
hsa04614	C15850
hsa04614	C15851
hsa04614	C15852
hsa04614	C20970
hsa04614	C20971
hsa04614	C20972
hsa04614	C20973
hsa04621	C00002
hsa04621	C00076
hsa04621	C00155
hsa04621	C00238
hsa04621	C00533
hsa04621	C01245
hsa04623	C20640
hsa04625	C00027
hsa04625	C00076
hsa04625	C00159
hsa04625	C00165
hsa04625	C00584
hsa04625	C00965
hsa04625	C01019
hsa04625	C01245
hsa04625	C21790
hsa04625	C21791
hsa04650	C00076
hsa04650	C00165
hsa04650	C01245
hsa04650	C05981
hsa04658	C00076
hsa04658	C00165
hsa04658	C01245
hsa04659	C00076
hsa04659	C00165
hsa04659	C00777
hsa04659	C01245
hsa04660	C00076
hsa04660	C00165
hsa04660	C01245
hsa04660	C05981
hsa04662	C00076
hsa04662	C00165
hsa04662	C01245
hsa04662	C05981
hsa04664	C00076
hsa04664	C00165
hsa04664	C00219
hsa04664	C00374
hsa04664	C00388
hsa04664	C00696
hsa04664	C01245
hsa04664	C02166
hsa04664	C05951
hsa04664	C05952
hsa04664	C05981
hsa04666	C00076
hsa04666	C00165
hsa04666	C00219
hsa04666	C00416
hsa04666	C01245
hsa04666	C04637
hsa04666	C05981
hsa04666	C06124
hsa04670	C00027
hsa04670	C00076
hsa04670	C00575
hsa04670	C04637
hsa04672	C00777
hsa04710	C00076
hsa04710	C00575
hsa04713	C00025
hsa04713	C00076
hsa04713	C00165
hsa04713	C00238
hsa04713	C00533
hsa04713	C00575
hsa04713	C00942
hsa04713	C01330
hsa04713	C01598
hsa04714	C00002
hsa04714	C00004
hsa04714	C00008
hsa04714	C00010
hsa04714	C00024
hsa04714	C00040
hsa04714	C00080
hsa04714	C00116
hsa04714	C00162
hsa04714	C00165
hsa04714	C00318
hsa04714	C00422
hsa04714	C00547
hsa04714	C00575
hsa04714	C00745
hsa04714	C00942
hsa04714	C00951
hsa04714	C01352
hsa04714	C01885
hsa04714	C02301
hsa04714	C02465
hsa04714	C11695
hsa04714	C13856
hsa04720	C00025
hsa04720	C00076
hsa04720	C00165
hsa04720	C00305
hsa04720	C00575
hsa04720	C01245
hsa04720	C01330
hsa04721	C00076
hsa04721	C00080
hsa04721	C03758
hsa04722	C00076
hsa04722	C00165
hsa04722	C00195
hsa04722	C01245
hsa04722	C05981
hsa04723	C00025
hsa04723	C00076
hsa04723	C00116
hsa04723	C00157
hsa04723	C00165
hsa04723	C00189
hsa04723	C00219
hsa04723	C00238
hsa04723	C00334
hsa04723	C00350
hsa04723	C00427
hsa04723	C00575
hsa04723	C00689
hsa04723	C01245
hsa04723	C01330
hsa04723	C11695
hsa04723	C13856
hsa04723	C19912
hsa04723	C19913
hsa04724	C00025
hsa04724	C00064
hsa04724	C00076
hsa04724	C00165
hsa04724	C00238
hsa04724	C00575
hsa04724	C01245
hsa04724	C01330
hsa04725	C00010
hsa04725	C00024
hsa04725	C00033
hsa04725	C00076
hsa04725	C00114
hsa04725	C00165
hsa04725	C00238
hsa04725	C00575
hsa04725	C01245
hsa04725	C01330
hsa04725	C01996
hsa04725	C04637
hsa04726	C00076
hsa04726	C00078
hsa04726	C00165
hsa04726	C00219
hsa04726	C00238
hsa04726	C00575
hsa04726	C00643
hsa04726	C00780
hsa04726	C00909
hsa04726	C01245
hsa04726	C01330
hsa04726	C02198
hsa04726	C05356
hsa04726	C05635
hsa04726	C05956
hsa04726	C14771
hsa04726	C14775
hsa04727	C00025
hsa04727	C00026
hsa04727	C00042
hsa04727	C00064
hsa04727	C00076
hsa04727	C00238
hsa04727	C00334
hsa04727	C00575
hsa04727	C00698
hsa04728	C00076
hsa04728	C00082
hsa04728	C00165
hsa04728	C00238
hsa04728	C00355
hsa04728	C00575
hsa04728	C01161
hsa04728	C01245
hsa04728	C01330
hsa04728	C03758
hsa04728	C05582
hsa04728	C05587
hsa04730	C00025
hsa04730	C00076
hsa04730	C00165
hsa04730	C00219
hsa04730	C00533
hsa04730	C00641
hsa04730	C00942
hsa04730	C01245
hsa04730	C01330
hsa04740	C00020
hsa04740	C00076
hsa04740	C00144
hsa04740	C00238
hsa04740	C00575
hsa04740	C00698
hsa04740	C00942
hsa04740	C01330
hsa04742	C00002
hsa04742	C00008
hsa04742	C00020
hsa04742	C00025
hsa04742	C00076
hsa04742	C00080
hsa04742	C00089
hsa04742	C00130
hsa04742	C00144
hsa04742	C00149
hsa04742	C00158
hsa04742	C00238
hsa04742	C00334
hsa04742	C00547
hsa04742	C00575
hsa04742	C00780
hsa04742	C01245
hsa04742	C01327
hsa04742	C01330
hsa04742	C01451
hsa04742	C01996
hsa04742	C02265
hsa04742	C06526
hsa04742	C12283
hsa04742	C12284
hsa04744	C00076
hsa04744	C00144
hsa04744	C00238
hsa04744	C00305
hsa04744	C00376
hsa04744	C00942
hsa04744	C01330
hsa04744	C02110
hsa04750	C00002
hsa04750	C00076
hsa04750	C00080
hsa04750	C00165
hsa04750	C00219
hsa04750	C00388
hsa04750	C00400
hsa04750	C00469
hsa04750	C00575
hsa04750	C00584
hsa04750	C00780
hsa04750	C00808
hsa04750	C00903
hsa04750	C01245
hsa04750	C01330
hsa04750	C05965
hsa04750	C06254
hsa04750	C06866
hsa04750	C07600
hsa04750	C09155
hsa04750	C09179
hsa04750	C09844
hsa04750	C11695
hsa04750	C12271
hsa04750	C14768
hsa04750	C19317
hsa04750	C20171
hsa04750	C20698
hsa04810	C00681
hsa04810	C01996
hsa04810	C04637
hsa04810	C05981
hsa04910	C00031
hsa04910	C00369
hsa04910	C00575
hsa04910	C05981
hsa04911	C00002
hsa04911	C00022
hsa04911	C00031
hsa04911	C00076
hsa04911	C00092
hsa04911	C00162
hsa04911	C00165
hsa04911	C00238
hsa04911	C00575
hsa04911	C01245
hsa04911	C01330
hsa04911	C01996
hsa04912	C00076
hsa04912	C00165
hsa04912	C00219
hsa04912	C00416
hsa04912	C00575
hsa04912	C01245
hsa04913	C00187
hsa04913	C00219
hsa04913	C00280
hsa04913	C00410
hsa04913	C00468
hsa04913	C00535
hsa04913	C00575
hsa04913	C00639
hsa04913	C00951
hsa04913	C01176
hsa04913	C01227
hsa04913	C01953
hsa04913	C02249
hsa04913	C02530
hsa04913	C04295
hsa04913	C05138
hsa04913	C05301
hsa04913	C05356
hsa04913	C14209
hsa04913	C14768
hsa04914	C00410
hsa04914	C00575
hsa04914	C05981
hsa04915	C00076
hsa04915	C00165
hsa04915	C00238
hsa04915	C00334
hsa04915	C00533
hsa04915	C00575
hsa04915	C00951
hsa04915	C01245
hsa04916	C00076
hsa04916	C00082
hsa04916	C00165
hsa04916	C00575
hsa04916	C01245
hsa04916	C05606
hsa04917	C00002
hsa04917	C00031
hsa04917	C00082
hsa04917	C00092
hsa04917	C00280
hsa04917	C00355
hsa04917	C00410
hsa04917	C00468
hsa04917	C00951
hsa04917	C03758
hsa04917	C05981
hsa04918	C00001
hsa04918	C00005
hsa04918	C00006
hsa04918	C00007
hsa04918	C00027
hsa04918	C00051
hsa04918	C00076
hsa04918	C00092
hsa04918	C00117
hsa04918	C00127
hsa04918	C00165
hsa04918	C00238
hsa04918	C00575
hsa04918	C00708
hsa04918	C01060
hsa04918	C01245
hsa04918	C01330
hsa04918	C01829
hsa04918	C02465
hsa04918	C02515
hsa04919	C00076
hsa04919	C00080
hsa04919	C00165
hsa04919	C00238
hsa04919	C00575
hsa04919	C01245
hsa04919	C01330
hsa04919	C01829
hsa04919	C02465
hsa04919	C05981
hsa04919	C07639
hsa04920	C00040
hsa04920	C00083
hsa04920	C00162
hsa04920	C00165
hsa04920	C00195
hsa04920	C00638
hsa04920	C15493
hsa04921	C00076
hsa04921	C00165
hsa04921	C00219
hsa04921	C00238
hsa04921	C00427
hsa04921	C00533
hsa04921	C00575
hsa04921	C00584
hsa04921	C00639
hsa04921	C00942
hsa04921	C01245
hsa04921	C13050
hsa04922	C00022
hsa04922	C00024
hsa04922	C00026
hsa04922	C00031
hsa04922	C00036
hsa04922	C00040
hsa04922	C00042
hsa04922	C00074
hsa04922	C00076
hsa04922	C00083
hsa04922	C00085
hsa04922	C00103
hsa04922	C00122
hsa04922	C00149
hsa04922	C00158
hsa04922	C00182
hsa04922	C00186
hsa04922	C00197
hsa04922	C00311
hsa04922	C00354
hsa04922	C00575
hsa04922	C00631
hsa04922	C00665
hsa04922	C00668
hsa04922	C01245
hsa04923	C00020
hsa04923	C00116
hsa04923	C00162
hsa04923	C00165
hsa04923	C00212
hsa04923	C00219
hsa04923	C00422
hsa04923	C00547
hsa04923	C00575
hsa04923	C00584
hsa04923	C00788
hsa04923	C00942
hsa04923	C01885
hsa04923	C02140
hsa04924	C00001
hsa04924	C00002
hsa04924	C00008
hsa04924	C00020
hsa04924	C00076
hsa04924	C00212
hsa04924	C00238
hsa04924	C00533
hsa04924	C00547
hsa04924	C00575
hsa04924	C00584
hsa04924	C00698
hsa04924	C00788
hsa04924	C00873
hsa04924	C00942
hsa04924	C01245
hsa04924	C02135
hsa04925	C00003
hsa04925	C00004
hsa04925	C00005
hsa04925	C00006
hsa04925	C00020
hsa04925	C00076
hsa04925	C00165
hsa04925	C00187
hsa04925	C00219
hsa04925	C00238
hsa04925	C00410
hsa04925	C00575
hsa04925	C00942
hsa04925	C01124
hsa04925	C01245
hsa04925	C01330
hsa04925	C01780
hsa04925	C01953
hsa04925	C02140
hsa04925	C03205
hsa04925	C14777
hsa04926	C00076
hsa04926	C00165
hsa04926	C00533
hsa04926	C00575
hsa04926	C01245
hsa04926	C05981
hsa04927	C00020
hsa04927	C00076
hsa04927	C00187
hsa04927	C00238
hsa04927	C00410
hsa04927	C00575
hsa04927	C00735
hsa04927	C01176
hsa04927	C01245
hsa04927	C01953
hsa04927	C05138
hsa04927	C05488
hsa04928	C00009
hsa04928	C00020
hsa04928	C00076
hsa04928	C00165
hsa04928	C00575
hsa04928	C01245
hsa04928	C01330
hsa04928	C01561
hsa04928	C01673
hsa04928	C18231
hsa04929	C00076
hsa04929	C00165
hsa04929	C00238
hsa04929	C00334
hsa04929	C00535
hsa04929	C00951
hsa04929	C01245
hsa04929	C01330
hsa04929	C04637
hsa04930	C00002
hsa04930	C00022
hsa04930	C00031
hsa04930	C00076
hsa04930	C00162
hsa04930	C00238
hsa04931	C00022
hsa04931	C00024
hsa04931	C00031
hsa04931	C00043
hsa04931	C00083
hsa04931	C00085
hsa04931	C00092
hsa04931	C00095
hsa04931	C00162
hsa04931	C00165
hsa04931	C00195
hsa04931	C00352
hsa04931	C00369
hsa04931	C00422
hsa04931	C00533
hsa04931	C02571
hsa04931	C02843
hsa04931	C05981
hsa04931	C06156
hsa04932	C00031
hsa04932	C00162
hsa04933	C00031
hsa04933	C00076
hsa04933	C00165
hsa04933	C00195
hsa04933	C01245
hsa04933	C21011
hsa04934	C00020
hsa04934	C00076
hsa04934	C00187
hsa04934	C00238
hsa04934	C00410
hsa04934	C00575
hsa04934	C00735
hsa04934	C01176
hsa04934	C01245
hsa04934	C01953
hsa04934	C05138
hsa04934	C05488
hsa04934	C07557
hsa04935	C00076
hsa04935	C00165
hsa04935	C00575
hsa04935	C01245
hsa04940	C00704
hsa04960	C00238
hsa04960	C00575
hsa04960	C00698
hsa04960	C00735
hsa04960	C00762
hsa04960	C01330
hsa04960	C01780
hsa04960	C05981
hsa04961	C00076
hsa04961	C00165
hsa04961	C00238
hsa04961	C00575
hsa04961	C00951
hsa04961	C01245
hsa04961	C01330
hsa04961	C01673
hsa04962	C00001
hsa04962	C00575
hsa04964	C00001
hsa04964	C00011
hsa04964	C00014
hsa04964	C00025
hsa04964	C00026
hsa04964	C00036
hsa04964	C00064
hsa04964	C00074
hsa04964	C00080
hsa04964	C00149
hsa04964	C00238
hsa04964	C00267
hsa04964	C00288
hsa04964	C00698
hsa04964	C01330
hsa04964	C01353
hsa04964	C01358
hsa04966	C00001
hsa04966	C00011
hsa04966	C00014
hsa04966	C00080
hsa04966	C00238
hsa04966	C00288
hsa04966	C00698
hsa04966	C01353
hsa04970	C00001
hsa04970	C00011
hsa04970	C00076
hsa04970	C00080
hsa04970	C00165
hsa04970	C00238
hsa04970	C00288
hsa04970	C00533
hsa04970	C00547
hsa04970	C00575
hsa04970	C00698
hsa04970	C00942
hsa04970	C01245
hsa04970	C01330
hsa04970	C01353
hsa04970	C01996
hsa04970	C13050
hsa04971	C00001
hsa04971	C00011
hsa04971	C00076
hsa04971	C00080
hsa04971	C00165
hsa04971	C00238
hsa04971	C00288
hsa04971	C00388
hsa04971	C00575
hsa04971	C00698
hsa04971	C01245
hsa04971	C01330
hsa04971	C01353
hsa04971	C01996
hsa04972	C00001
hsa04972	C00011
hsa04972	C00076
hsa04972	C00080
hsa04972	C00165
hsa04972	C00238
hsa04972	C00288
hsa04972	C00575
hsa04972	C00698
hsa04972	C01245
hsa04972	C01330
hsa04972	C01353
hsa04972	C01996
hsa04972	C13050
hsa04972	C13051
hsa04973	C00011
hsa04973	C00031
hsa04973	C00033
hsa04973	C00076
hsa04973	C00089
hsa04973	C00092
hsa04973	C00095
hsa04973	C00124
hsa04973	C00163
hsa04973	C00165
hsa04973	C00208
hsa04973	C00238
hsa04973	C00243
hsa04973	C00246
hsa04973	C00282
hsa04973	C00369
hsa04973	C00707
hsa04973	C00714
hsa04973	C00760
hsa04973	C01330
hsa04973	C01355
hsa04973	C01835
hsa04973	C02049
hsa04973	C05981
hsa04973	C08822
hsa04973	C12285
hsa04974	C00011
hsa04974	C00014
hsa04974	C00025
hsa04974	C00033
hsa04974	C00037
hsa04974	C00041
hsa04974	C00047
hsa04974	C00049
hsa04974	C00062
hsa04974	C00064
hsa04974	C00076
hsa04974	C00079
hsa04974	C00080
hsa04974	C00097
hsa04974	C00146
hsa04974	C00148
hsa04974	C00163
hsa04974	C00238
hsa04974	C00246
hsa04974	C00282
hsa04974	C00463
hsa04974	C00483
hsa04974	C01327
hsa04974	C01330
hsa04974	C01438
hsa04974	C02632
hsa04974	C05996
hsa04974	C08262
hsa04974	C18319
hsa04975	C00010
hsa04975	C00040
hsa04975	C00162
hsa04975	C00165
hsa04975	C00187
hsa04975	C00416
hsa04975	C00422
hsa04975	C00681
hsa04975	C00865
hsa04975	C01558
hsa04975	C02112
hsa04975	C02530
hsa04976	C00001
hsa04976	C00011
hsa04976	C00024
hsa04976	C00031
hsa04976	C00051
hsa04976	C00080
hsa04976	C00187
hsa04976	C00238
hsa04976	C00288
hsa04976	C00575
hsa04976	C00695
hsa04976	C00698
hsa04976	C00865
hsa04976	C01330
hsa04976	C01353
hsa04976	C02530
hsa04976	C02538
hsa04976	C05122
hsa04976	C06804
hsa04976	C07512
hsa04976	C11277
hsa04977	C00003
hsa04977	C00010
hsa04977	C00016
hsa04977	C00018
hsa04977	C00061
hsa04977	C00068
hsa04977	C00072
hsa04977	C00080
hsa04977	C00120
hsa04977	C00153
hsa04977	C00162
hsa04977	C00187
hsa04977	C00250
hsa04977	C00255
hsa04977	C00376
hsa04977	C00378
hsa04977	C00422
hsa04977	C00473
hsa04977	C00504
hsa04977	C00534
hsa04977	C00647
hsa04977	C00681
hsa04977	C00828
hsa04977	C00864
hsa04977	C01330
hsa04977	C01558
hsa04977	C02059
hsa04977	C02075
hsa04977	C02094
hsa04977	C02112
hsa04977	C02477
hsa04977	C02530
hsa04977	C05377
hsa04977	C05443
hsa04977	C05552
hsa04977	C05776
hsa04977	C13202
hsa04978	C00009
hsa04978	C00032
hsa04978	C00037
hsa04978	C00038
hsa04978	C00070
hsa04978	C00076
hsa04978	C00080
hsa04978	C00124
hsa04978	C00238
hsa04978	C00288
hsa04978	C00305
hsa04978	C00698
hsa04978	C01330
hsa04978	C01673
hsa04978	C14818
hsa04978	C14819
hsa04979	C00162
hsa04979	C00187
hsa04979	C00422
hsa04979	C00865
hsa04979	C02530
hsa04979	C05122
hsa04979	C15610
hsa05010	C00027
hsa05010	C00070
hsa05010	C00076
hsa05010	C00533
hsa05010	C01245
hsa05010	C04549
hsa05010	C05981
hsa05010	C14818
hsa05010	C16514
hsa05010	C16845
hsa05010	C21011
hsa05012	C00002
hsa05012	C00008
hsa05012	C00009
hsa05012	C00013
hsa05012	C00020
hsa05012	C00082
hsa05012	C00212
hsa05012	C00355
hsa05012	C00575
hsa05012	C00704
hsa05012	C03758
hsa05012	C04599
hsa05012	C07593
hsa05012	C11310
hsa05014	C00001
hsa05014	C00025
hsa05014	C00027
hsa05014	C00062
hsa05014	C00070
hsa05014	C00076
hsa05014	C00533
hsa05014	C00704
hsa05014	C16844
hsa05014	C16845
hsa05016	C00025
hsa05016	C00076
hsa05016	C00238
hsa05016	C01245
hsa05016	C01330
hsa05016	C04549
hsa05017	C00025
hsa05017	C00076
hsa05017	C00165
hsa05017	C00238
hsa05017	C01245
hsa05017	C01330
hsa05017	C04549
hsa05020	C00027
hsa05020	C00575
hsa05020	C02140
hsa05030	C00025
hsa05030	C00027
hsa05030	C00082
hsa05030	C00355
hsa05030	C00575
hsa05030	C01161
hsa05030	C03758
hsa05031	C00025
hsa05031	C00027
hsa05031	C00076
hsa05031	C00082
hsa05031	C00355
hsa05031	C00575
hsa05031	C01161
hsa05031	C01330
hsa05031	C03758
hsa05032	C00020
hsa05032	C00076
hsa05032	C00212
hsa05032	C00238
hsa05032	C00334
hsa05032	C00575
hsa05032	C00698
hsa05032	C03758
hsa05033	C00025
hsa05033	C00076
hsa05033	C00334
hsa05033	C00698
hsa05033	C00745
hsa05033	C01330
hsa05033	C01996
hsa05034	C00025
hsa05034	C00027
hsa05034	C00076
hsa05034	C00082
hsa05034	C00212
hsa05034	C00355
hsa05034	C00469
hsa05034	C00575
hsa05034	C01161
hsa05034	C03758
hsa05110	C00014
hsa05110	C00080
hsa05110	C00165
hsa05110	C00238
hsa05110	C00575
hsa05110	C00698
hsa05110	C01245
hsa05110	C01330
hsa05110	C04911
hsa05120	C00014
hsa05120	C00080
hsa05120	C00086
hsa05120	C00698
hsa05120	C01342
hsa05130	C00338
hsa05130	C00350
hsa05130	C00681
hsa05131	C00002
hsa05131	C00076
hsa05131	C00123
hsa05131	C00165
hsa05131	C00238
hsa05131	C00338
hsa05131	C00407
hsa05131	C01245
hsa05131	C04549
hsa05131	C04637
hsa05131	C04737
hsa05131	C05981
hsa05131	C11472
hsa05131	C11556
hsa05131	C11557
hsa05131	C20640
hsa05132	C00338
hsa05132	C01194
hsa05132	C04549
hsa05132	C05981
hsa05132	C11554
hsa05133	C00002
hsa05133	C00076
hsa05133	C00238
hsa05133	C00253
hsa05133	C00338
hsa05133	C00374
hsa05133	C00575
hsa05133	C05005
hsa05133	C12505
hsa05133	C19596
hsa05134	C00338
hsa05134	C01277
hsa05135	C00076
hsa05135	C00338
hsa05135	C01245
hsa05135	C04637
hsa05135	C05981
hsa05140	C00076
hsa05140	C00195
hsa05140	C00219
hsa05140	C00533
hsa05140	C00584
hsa05140	C02737
hsa05142	C00062
hsa05142	C00076
hsa05142	C00533
hsa05142	C00575
hsa05142	C01245
hsa05142	C05981
hsa05143	C00076
hsa05143	C00078
hsa05143	C00165
hsa05143	C00328
hsa05143	C00533
hsa05143	C00584
hsa05143	C00696
hsa05143	C01245
hsa05144	C00533
hsa05144	C00634
hsa05145	C00076
hsa05145	C05981
hsa05145	C06314
hsa05146	C00027
hsa05146	C00062
hsa05146	C00076
hsa05146	C00165
hsa05146	C00219
hsa05146	C00533
hsa05146	C00575
hsa05146	C00584
hsa05146	C01074
hsa05146	C01245
hsa05146	C01498
hsa05146	C02737
hsa05146	C18287
hsa05150	C11596
hsa05150	C20898
hsa05152	C00076
hsa05152	C00338
hsa05152	C01194
hsa05152	C01561
hsa05152	C01673
hsa05152	C04549
hsa05152	C06124
hsa05152	C21790
hsa05160	C05981
hsa05160	C20935
hsa05161	C00076
hsa05162	C05981
hsa05163	C00076
hsa05163	C00165
hsa05163	C00584
hsa05163	C01245
hsa05163	C05981
hsa05163	C20640
hsa05164	C00027
hsa05164	C00080
hsa05164	C05981
hsa05165	C00575
hsa05165	C00584
hsa05165	C05981
hsa05166	C00027
hsa05166	C00076
hsa05166	C00238
hsa05166	C00575
hsa05166	C05981
hsa05167	C00076
hsa05167	C00165
hsa05167	C00350
hsa05167	C01245
hsa05167	C05981
hsa05168	C05981
hsa05168	C20640
hsa05168	C20935
hsa05169	C00076
hsa05169	C01245
hsa05169	C05981
hsa05170	C00076
hsa05170	C00165
hsa05170	C01245
hsa05170	C05981
hsa05170	C20640
hsa05200	C00027
hsa05200	C00039
hsa05200	C00076
hsa05200	C00122
hsa05200	C00149
hsa05200	C00165
hsa05200	C00187
hsa05200	C00416
hsa05200	C00533
hsa05200	C00535
hsa05200	C00575
hsa05200	C00584
hsa05200	C00681
hsa05200	C00704
hsa05200	C00777
hsa05200	C00951
hsa05200	C01245
hsa05200	C01471
hsa05200	C03917
hsa05200	C05981
hsa05200	C16038
hsa05200	C16844
hsa05200	C21641
hsa05200	C21642
hsa05204	C00027
hsa05204	C03012
hsa05204	C03621
hsa05204	C03622
hsa05204	C06547
hsa05204	C06548
hsa05204	C06752
hsa05204	C06754
hsa05204	C06790
hsa05204	C06793
hsa05204	C06800
hsa05204	C06899
hsa05204	C07122
hsa05204	C07490
hsa05204	C07535
hsa05204	C07641
hsa05204	C10998
hsa05204	C11148
hsa05204	C11149
hsa05204	C11150
hsa05204	C14527
hsa05204	C14556
hsa05204	C14704
hsa05204	C14783
hsa05204	C14849
hsa05204	C14850
hsa05204	C14851
hsa05204	C14852
hsa05204	C14853
hsa05204	C14854
hsa05204	C14855
hsa05204	C14856
hsa05204	C14866
hsa05204	C14867
hsa05204	C14868
hsa05204	C14869
hsa05204	C14874
hsa05204	C16038
hsa05204	C16453
hsa05204	C16844
hsa05204	C19161
hsa05204	C19164
hsa05204	C19180
hsa05204	C19255
hsa05204	C19368
hsa05204	C19488
hsa05204	C19489
hsa05204	C19490
hsa05204	C19525
hsa05204	C19559
hsa05204	C19561
hsa05204	C19562
hsa05204	C19563
hsa05204	C19564
hsa05204	C19565
hsa05204	C19566
hsa05204	C19567
hsa05204	C19568
hsa05204	C19569
hsa05204	C19574
hsa05204	C19577
hsa05204	C19578
hsa05204	C19579
hsa05204	C19580
hsa05204	C19581
hsa05204	C19582
hsa05204	C19586
hsa05204	C19602
hsa05204	C19603
hsa05204	C19605
hsa05204	C19606
hsa05204	C20280
hsa05204	C20281
hsa05204	C20282
hsa05204	C20283
hsa05204	C20284
hsa05204	C20285
hsa05204	C20286
hsa05204	C20287
hsa05204	C20288
hsa05204	C20289
hsa05204	C20290
hsa05204	C20291
hsa05204	C20293
hsa05204	C20294
hsa05204	C20295
hsa05204	C20296
hsa05204	C20298
hsa05204	C20300
hsa05204	C20301
hsa05204	C20302
hsa05204	C20303
hsa05204	C20304
hsa05204	C20305
hsa05204	C20306
hsa05204	C20316
hsa05204	C20317
hsa05204	C20318
hsa05204	C20319
hsa05205	C00426
hsa05205	C00573
hsa05205	C00607
hsa05205	C00925
hsa05210	C05981
hsa05211	C00007
hsa05211	C00122
hsa05211	C00149
hsa05212	C00416
hsa05212	C05981
hsa05213	C05981
hsa05214	C00076
hsa05214	C00165
hsa05214	C01245
hsa05214	C05981
hsa05215	C00535
hsa05215	C00951
hsa05215	C03917
hsa05215	C05981
hsa05215	C16038
