ID	Name	AG1	AG2	AG3	AG4	AG5	AG6	AG31	AG32	AG33	AG34	AG35	AG36	AG7	AG8	AG9	AG10	AG11	AG12	QCA06	QCA07	QCA08	QCA09	QCA10	QCA11	QCA12	QCA13	QCA14	QCA15	QCA16
ID67	Benzyladenine	29.75734754	86.30696884	54.23874949	47.67256149	78.50448031	157.1026365	40.58546415	51.58841556	38.81216042	176.9450329	45.8081419	49.3699484	78.56408687	137.7711316	102.1754246	63.48211704	49.33188821	72.59303386	48.86948727	55.90287369	47.24455054	54.73999656	46.32504677	50.07360799	56.24204002	46.37005372	57.52024407	52.48196994	58.58366332
ID68	Oleamide	787.2749242	285.6720043	305.3285238	282.3018112	449.2558722	204.2949785	291.7561991	610.2171436	76.47575923	212.3251097	292.6561972	260.176233	367.8173612	360.396193	1412.111805	305.4579698	263.3585158	586.409141	309.3818789	309.4156054	340.652613	332.8290636	389.3023571	283.6079524	338.7482398	347.9460979	316.5490078	276.8525408	277.8049558
ID69	Betulin	940.2207186	805.9126181	627.5195481	709.7288722	687.6729032	738.1375414	581.2109501	652.3735941	750.1597235	403.4976577	1334.490592	744.6528033	843.795293	894.4975437	571.5248654	1138.807022	696.5545495	649.3315324	638.2318378	771.3924733	673.6056694	705.4651635	732.190254	720.060905	606.511548	720.8325876	735.8454331	651.6017313	636.2095015
ID70	sphinganine	8.932495766	62.93561473	11.66660063	6.970301619	13.42263376	57.36019212	12.83141905	5.305677018	7.641579227	10.70119803	11.28656417	6.808945115	8.550941495	24.88085022	5.387158751	22.11549994	12.87521334	17.7810993	12.28640739	9.875521771	12.27517451	13.15820325	12.42943256	10.32919574	12.36005713	10.9109782	9.347361032	7.166173863	12.3853051
ID71	p-cymene	72.92474813	104.4186397	56.50898561	44.10311118	33.56072196	18.77332727	43.94883162	24.58399708	39.0698283	29.16014227	33.10648467	125.7687621	65.01957243	15.59434874	62.69832958	65.29143409	11.28279259	43.54703442	25.52491643	33.70119124	17.88636825	36.42458298	27.55067689	18.32994194	25.01603688	21.36134397	38.141065	44.27922908	26.5462208
ID72	Xylitol	761.625059	117.4015216	203.8825739	561.6164712	107.0727323	107.2369591	960.2517754	97.42630144	89.3335193	263.4401586	100.2045161	896.0859435	106.271922	89.82895059	698.2981733	65.16491007	129.6819405	850.2333549	965.6738628	162.6720876	134.1596511	880.6209249	925.8898739	1080.41257	164.3002785	127.7242189	105.4378059	841.1928081	878.2396973
ID73	2,3,4-Trimethoxybenzoic acid	18.44288611	75.75269161	110.8310234	68.753476	92.46480429	53.28234517	54.25978801	86.25673333	69.84983483	82.20917352	96.73332921	42.42550831	78.52758881	262.8633983	41.0880307	214.3884905	70.34181297	146.4170717	46.44350877	55.27379575	50.05199897	55.88464035	64.43749394	50.93256125	57.03863404	58.14371879	47.93411722	57.81516677	52.80983492
ID74	Stearidonic acid	234.7391331	762.4140284	429.0649704	250.9685217	433.117052	597.7203799	437.1723978	440.252764	419.6350722	333.1092055	779.9100262	405.841126	299.7896102	456.8489633	265.8172499	476.3937092	281.7233366	183.3079654	355.7220512	336.7655237	384.7480069	290.4835284	352.2204824	384.2631977	350.5870857	375.4564791	366.1832304	334.9071213	339.1531625
ID75	Artemisinin	5.43774059	51.35830561	13.35194717	2.442091448	17.80859785	11.36681374	3.110162334	5.105925362	4.209229969	5.466589419	2.090259327	2.665667933	9.197906313	5.479640389	9.640670644	34.33511233	2.609431696	6.83565227	4.960762656	5.261629086	6.576532114	2.569660376	4.641982729	5.797040538	2.711838231	5.408747614	5.282598554	6.824662821	5.33584284
ID76	Phloionolic acid	74.17623865	71.54049239	57.69422997	47.20323175	44.47766889	80.20138561	36.82632307	34.55174481	41.33516057	28.35064767	86.17043441	26.38324248	63.06235895	92.85896726	40.92179281	111.5424725	34.96120665	62.59191011	56.03791624	48.48334711	49.6569197	51.7687314	50.32060835	38.89076597	40.90710466	42.05081965	47.37973486	40.78753468	44.08323718
