sample	geo
GSM159039	GSE6891
GSM159040	GSE6891
GSM159041	GSE6891
GSM159042	GSE6891
GSM159043	GSE6891
GSM159044	GSE6891
GSM159045	GSE6891
GSM159046	GSE6891
GSM159047	GSE6891
GSM159048	GSE6891
GSM159049	GSE6891
GSM159050	GSE6891
GSM159051	GSE6891
GSM159052	GSE6891
GSM159053	GSE6891
GSM159054	GSE6891
GSM159055	GSE6891
GSM159056	GSE6891
GSM159057	GSE6891
GSM159058	GSE6891
GSM159059	GSE6891
GSM159060	GSE6891
GSM159061	GSE6891
GSM159062	GSE6891
GSM159063	GSE6891
GSM159064	GSE6891
GSM159065	GSE6891
GSM159066	GSE6891
GSM159067	GSE6891
GSM159068	GSE6891
GSM159069	GSE6891
GSM159070	GSE6891
GSM159071	GSE6891
GSM159072	GSE6891
GSM159073	GSE6891
GSM159074	GSE6891
GSM159075	GSE6891
GSM159076	GSE6891
GSM159077	GSE6891
GSM159078	GSE6891
GSM159079	GSE6891
GSM159080	GSE6891
GSM159081	GSE6891
GSM159082	GSE6891
GSM159083	GSE6891
GSM159084	GSE6891
GSM159085	GSE6891
GSM159086	GSE6891
GSM159087	GSE6891
GSM159088	GSE6891
GSM159089	GSE6891
GSM159090	GSE6891
GSM159091	GSE6891
GSM159092	GSE6891
GSM159093	GSE6891
GSM159094	GSE6891
GSM159095	GSE6891
GSM159096	GSE6891
GSM159097	GSE6891
GSM159098	GSE6891
GSM159099	GSE6891
GSM159100	GSE6891
GSM159101	GSE6891
GSM159102	GSE6891
GSM159103	GSE6891
GSM159104	GSE6891
GSM159105	GSE6891
GSM159106	GSE6891
GSM159107	GSE6891
GSM159108	GSE6891
GSM159109	GSE6891
GSM159110	GSE6891
GSM159111	GSE6891
GSM159112	GSE6891
GSM159113	GSE6891
GSM159114	GSE6891
GSM159115	GSE6891
GSM159116	GSE6891
GSM159117	GSE6891
GSM159118	GSE6891
GSM159119	GSE6891
GSM159120	GSE6891
GSM159121	GSE6891
GSM159122	GSE6891
GSM159123	GSE6891
GSM159124	GSE6891
GSM159125	GSE6891
GSM159126	GSE6891
GSM159127	GSE6891
GSM159128	GSE6891
GSM159129	GSE6891
GSM159130	GSE6891
GSM159131	GSE6891
GSM159132	GSE6891
GSM159133	GSE6891
GSM159134	GSE6891
GSM159135	GSE6891
GSM159136	GSE6891
GSM159137	GSE6891
GSM159138	GSE6891
GSM159139	GSE6891
GSM159140	GSE6891
GSM159141	GSE6891
GSM159142	GSE6891
GSM159143	GSE6891
GSM159144	GSE6891
GSM159145	GSE6891
GSM159146	GSE6891
GSM159147	GSE6891
GSM159148	GSE6891
GSM159149	GSE6891
GSM159150	GSE6891
GSM159151	GSE6891
GSM159152	GSE6891
GSM159153	GSE6891
GSM159154	GSE6891
GSM159155	GSE6891
GSM159156	GSE6891
GSM159157	GSE6891
GSM159158	GSE6891
GSM159159	GSE6891
GSM159160	GSE6891
GSM159161	GSE6891
GSM159162	GSE6891
GSM159163	GSE6891
GSM159164	GSE6891
GSM159165	GSE6891
GSM159166	GSE6891
GSM159167	GSE6891
GSM159168	GSE6891
GSM159169	GSE6891
GSM159170	GSE6891
GSM159171	GSE6891
GSM768679	GSE6891
GSM768680	GSE6891
GSM768681	GSE6891
GSM768682	GSE6891
GSM768683	GSE6891
GSM768684	GSE6891
GSM768685	GSE6891
GSM768686	GSE6891
GSM768687	GSE6891
GSM768688	GSE6891
GSM768689	GSE6891
GSM768690	GSE6891
GSM768691	GSE6891
GSM768692	GSE6891
GSM768693	GSE6891
GSM768694	GSE6891
GSM768695	GSE6891
GSM768696	GSE6891
GSM768697	GSE6891
GSM768698	GSE6891
GSM768699	GSE6891
GSM768700	GSE6891
GSM768701	GSE6891
GSM768702	GSE6891
GSM768703	GSE6891
GSM768704	GSE6891
GSM768705	GSE6891
GSM768706	GSE6891
GSM768707	GSE6891
GSM768708	GSE6891
GSM768709	GSE6891
GSM768710	GSE6891
GSM768711	GSE6891
GSM768712	GSE6891
GSM768713	GSE6891
GSM768714	GSE6891
GSM768715	GSE6891
GSM768716	GSE6891
GSM768717	GSE6891
GSM768718	GSE6891
GSM768719	GSE6891
GSM768720	GSE6891
GSM768721	GSE6891
GSM768722	GSE6891
GSM768723	GSE6891
GSM768724	GSE6891
GSM768725	GSE6891
GSM768726	GSE6891
GSM768727	GSE6891
GSM768728	GSE6891
GSM768729	GSE6891
GSM768730	GSE6891
GSM768731	GSE6891
GSM768732	GSE6891
GSM768733	GSE6891
GSM768734	GSE6891
GSM768735	GSE6891
GSM768736	GSE6891
GSM768737	GSE6891
GSM768738	GSE6891
GSM768739	GSE6891
GSM768740	GSE6891
GSM768741	GSE6891
GSM768742	GSE6891
GSM768743	GSE6891
GSM768744	GSE6891
GSM768745	GSE6891
GSM768746	GSE6891
GSM768747	GSE6891
GSM768748	GSE6891
GSM768749	GSE6891
GSM768750	GSE6891
GSM768751	GSE6891
GSM768752	GSE6891
GSM768753	GSE6891
GSM768754	GSE6891
