ID	metabolite	A148_1	A138_1	A126_1	A137_1	A152_1	A145_1	A127_1	A162_1	A132_1	A141_1	A121_1	A164_1	A128_1	A124_1	A131_1	A151_1	A146_1	A142_1	A149_1	A134_1	A157_1	A159_1	A155_1	A161_1	A156_1	A139_1	A130_1	A167_1	A123_1	A147_1	A133_1	A129_1	A160_1	A125_1	A158_1	A163_1	A135_1	A165_1	A168_1	A122_1	A140_1	A150_1	A144_1	A136_1	A166_1	A143_1	A154_1	A153_1
id95	D-erythronolactone 2	120212.237	133805.78	148742.015	120785.588	118193.897	110317.669	140288.246	108819.764	152306.433	113179.843	163974.779	96110.477	161258.853	152448.449	151446.675	142240.031	119022.916	129433.375	161197.908	93445.265	98584.808	99589.488	137797.162	94106.524	143506.422	133154.938	149961.983	113305.029	131319.933	112011.933	91639.518	125843.517	98313.263	154935.852	95402.558	108762.062	105865.314	86419.993	129300.475	112762.482	122156.713	125096.528	118030.194	90399.147	99185.857	117921.962	104651.081	207284.789
id96	tartaric acid	31130.806	9870.761	25820.57	9877.678	26742.112	NA	NA	4821.533	NA	8559.657	NA	5364.267	32649.247	35418.008	29065.51	33883.662	46248.35	7487.861	35490.406	11975.473	4951.273	4592.511	31490.261	5064.364	23543.682	10112.029	31208.78	5507.984	32617.541	45852.748	10933.218	24249.818	6416.104	44876.48	9291.989	NA	13055.326	5938.423	5989.558	27649.532	8626.678	18867.047	5454.49	10226.623	4541.615	4417.801	18756.612	34462.211
id97	allose 1	23847.881	215313.369	31760.9	148465.31	23473.997	NA	24455.158	119607.922	44141.577	192802.694	NA	84740.988	78904.8	91670.82	83495.267	30220.91	39333.755	112182.098	172234.106	89384.263	54306.749	49439.395	NA	66466.591	NA	99116.785	NA	85538.168	39225.841	NA	184795.004	27420.424	97268.868	39699.098	51251.726	73284.676	121089.557	70679.485	78757.493	22307.319	110595.776	40550.066	146548.666	99977.361	76355.095	104482.107	139089.629	40361.777
id98	4-Hydroxy-3-methoxybenzyl alcohol	50605.695	NA	69037.793	NA	57785.68	46983.617	92930.214	NA	76951.102	NA	84967.322	NA	88946.409	95872.543	71478.432	57298.55	51146.94	NA	52827.554	NA	NA	NA	45603.395	NA	46587.833	NA	70492.203	NA	45860.078	37609.049	NA	53730.643	NA	71193.795	NA	NA	NA	NA	NA	40662.247	NA	31267.935	NA	NA	NA	NA	29410.931	52626.777
id99	4-Hydroxybenzoic acid	NA	27173.025	19612.753	29723.309	NA	24518.074	21020.106	38888.67	30873.897	59266.344	47041.065	58579.176	NA	42882.431	36275.469	NA	47126.003	56574.182	64658.425	45079.454	62559.798	52462.849	43908.575	45331.711	48227.523	68020.89	50633.247	88281.85	58400.607	61106.42	48640.112	54903.8	60899.358	68869.722	126432.603	77881.222	68053.311	85379.638	104611.532	74741.369	96786.974	72399.948	59416.728	67427.689	84622.214	72061.788	65121.647	75932.004
id100	3-ureidopropionate 1	62238.099	NA	103850.282	NA	59100.935	60968.084	119005.012	NA	107774.867	NA	87681.767	NA	NA	127744.466	138265.454	65768.269	73944.978	NA	65273.656	NA	NA	NA	56560.66	NA	63307.342	NA	141161.664	NA	147226.699	63755.603	NA	115677.427	NA	145533.062	NA	NA	NA	NA	NA	64562.233	NA	62479.726	NA	NA	NA	NA	51490.171	76080.596
id101	1,3-diaminopropane	105190.312	NA	205528.65	11659.613	154949.304	289979.192	287785.064	5757.877	239974.5	NA	297537.094	22993.913	354123.569	395320.406	302939.73	270284.636	330788.11	9275.349	330350.106	17279.552	11081.336	NA	252457.245	NA	283784.728	8761.921	314927.801	78011.742	380214.144	332784.323	NA	307552.126	8649.41	421635.198	NA	9371.537	6177.549	19948.409	32413.25	239211.321	10835.863	304062.776	4257.455	25169.522	9042.685	4618.917	225262.002	312400.781
id102	xylose 1	691901.897	606333.52	1294527.2	545757.335	888254.03	927361.807	1217671.42	720400.321	1429458.98	570413.014	1396410.64	639166.339	1212642.83	1505339.37	1110014.3	910982.318	934108.199	647077.167	1038889.06	579069.112	790420.056	549121.119	653856.546	486160.439	860622.642	659346.678	NA	643677.879	1490059.06	919927.493	531090.792	1105523.94	547731.057	1496256.5	2329665.92	515466.433	413044.976	547136.159	1061940.49	1540597.27	688061.811	1137003.13	403487.959	555057.29	455431.571	391924.435	739723.215	833561.485
id103	Lyxose 1	1225809.75	1308824.15	1959951.44	1135344.44	1476069.91	1505632.75	2626037.65	1223445.57	2953465.33	1527271.71	1818746.63	1691117.73	2563037.5	1860569.62	2304861.87	1465758.45	1407506.51	1571725.93	1691605.31	1282241.04	1526247.41	1229920.23	1280388.97	1160636.58	1732102.21	1446098.7	2374470.79	1728017.94	2605002.84	1480145.34	1092190.7	3442750.98	1374715.26	1952157.29	12794640.9	1349181.24	930024.747	1591266.49	2657119.88	2723500.78	1771230.85	1804232.74	1021832.02	1098237.96	1802995.26	1101545.58	1560141.21	1543047.76
id104	lauric acid	NA	35436.069	NA	NA	NA	NA	NA	37088.547	NA	32366.371	NA	34613.98	NA	NA	NA	22919.771	25401.096	NA	NA	26884.432	39458.901	NA	21710.7	33451.543	28256.394	NA	NA	NA	NA	NA	31628.574	NA	34167.979	NA	NA	NA	NA	NA	NA	42294.277	NA	NA	NA	26153.486	NA	NA	NA	24499.104
id105	5-Aminoimidazole-4-carboxamide 1	17511.809	NA	19143.352	NA	9887.899	41121.229	20444.061	NA	12655.469	NA	28018.982	NA	13942.443	35222.957	13942.716	19055.995	24194.157	NA	25340.475	NA	NA	NA	10705.966	NA	10260.556	NA	NA	NA	14014.809	31431.487	NA	12006.762	NA	NA	NA	NA	NA	NA	NA	3281.582	NA	11360.879	NA	NA	NA	NA	5962.789	16285.558
id106	1,2-Cyclohexanedione 4	11529.749	9682.365	11796.556	12873.16	14727.176	NA	12107.972	7606.214	14553.002	10744.929	9960.7	NA	13903.311	12332.706	8469.782	14783.833	29218.242	NA	17433.83	10683.99	NA	NA	14351.552	NA	14994.188	9830.038	14914.1	13936.934	14345.37	22359.783	NA	15126.104	NA	9469.877	NA	NA	9113.539	NA	10908.552	11148.193	10470.515	18808.629	NA	7919.454	NA	5184.957	14001.547	17906.956
id107	ribose	994578.504	821646.805	1339145.15	783607.627	988160.124	1108770.25	1609733.45	1037966.23	1747925.1	872422.744	1523050.17	1038464.82	1451309.75	1695203.58	1323132.21	1094752.67	1092203.15	973705.017	1296084.94	651941.854	1269231.42	598806.662	862197.986	603881.656	1172667.45	762266.886	1472456.47	1150017.13	1713351.43	1066543.4	730479.736	1586867.41	775935.931	1590907.41	4535390.48	1007670.34	591416.888	827051.356	1438624.31	1729344.44	700457.036	1325708.11	517674.699	712335.92	685453.14	749550.092	968213.958	1003165.02
id108	N-formyl-L-methionine 2	90156.853	102235.619	103457.826	102013.741	92221.812	100400.45	106981.73	93641.302	121480.505	93041.315	128703.471	89048.473	11661.387	131786.505	116447.146	116457.206	109733.311	96114.656	125471.541	77239.404	86723.634	83025.509	110735.865	87367.259	102471.983	87788.768	90993.908	106539.672	92017.892	112806.71	91464.342	70272.001	94881.514	122043.227	109126.639	89506.965	76983.796	71193.683	84707.093	87247.417	76014.605	95012.942	77054.14	70385.528	73611.044	72517.777	89907.02	89040.963
