geneid	genesymbol	count
730098	UNCHARACTERIZED LOC730098	1
101928436	UNCHARACTERIZED LOC101928436	1
100616205	MIR4704	1
102466953	MIR6082	1
102466953	HSA-MIR-6082	2
100616484	MIR4470	1
100616484	MIR-4470	2
109623450	SNORD155	1
100847028	MIR5587	1
102465457	MIR6762	1
102465457	HSA-MIR-6762	2
102466872	MIR7975	1
102466872	HSA-MIR-7975	2
102466983	MIR6766	1
102466983	HSA-MIR-6766	2
102465910	MIR6859-3	1
102465910	HSA-MIR-6859-3	2
100616498	MIR378E	1
100616498	MIR-378E	2
100422895	MIR4294	1
100616459	MIR4745	1
100616459	MIR-4745	2
100033811	SNORD115-37	1
100033811	HBII-52-37	2
100616333	MIR3689C	1
100616239	MIR4705	1
100126326	MIR936	1
100126326	MIRN936	2
100126326	HSA-MIR-936	3
100616226	MIR4468	1
102466738	MIR6798	1
102466738	HSA-MIR-6798	2
677812	SNORA29	1
677812	ACA29	2
100616295	MIR4764	1
102465436	MIR6728	1
102465436	HSA-MIR-6728	2
100422946	MIR3116-2	1
100500861	MIR3665	1
100616372	MIR4659B	1
693144	MIR559	1
693144	MIRN559	2
693144	HSA-MIR-559	3
101954269	RNVU1-17	1
101954269	RNU1-127	2
101954269	VU1.17	3
100616210	MIR4737	1
100616437	MIR1343	1
100500903	MIR3913-1	1
100500903	MIR-3913-1	2
100616413	MIR4462	1
109617004	SNORA35B	1
100616450	MIR548AG1	1
100616167	MIR4722	1
102466864	MIR6516	1
102466864	HSA-MIR-6516	2
100302227	MIR1302-1	1
100302227	MIRN1302-1	2
100302227	HSA-MIR-1302-1	3
102465669	MIR7113	1
102465669	HSA-MIR-7113	2
109623474	SNORD154	1
100033810	SNORD115-36	1
100033810	HBII-52-36	2
100500818	MIR3945	1
102464825	MIR6070	1
102464825	HSA-MIR-6070	2
693165	MIR580	1
693165	MIRN580	2
693165	HSA-MIR-580	3
100616313	MIR4749	1
100616313	MIR-4749	2
26808	SNORD42B	1
26808	RNU42B	2
26808	U42B	3
100422860	MIR4292	1
26869	RNU1-3	1
26869	HSD4	2
26869	RNU1G3	3
677681	SCARNA20	1
677681	ACA66	2
100616369	MIR4713	1
109616978	SNORD31B	1
9301	SNORD27	1
9301	RNU27	2
9301	U27	3
692157	SNORA16B	1
692157	U98B	2
107399303	SNORA101B	1
107399303	ZL4	2
102466757	MIR6884	1
102466757	HSA-MIR-6884	2
100616202	MIR4634	1
692200	SNORD103C	1
692200	HBII-251	2
692200	SNORD85	3
692091	SNORD23	1
692091	HBII-115	2
100500919	MIR548Y	1
102464832	MIR6083	1
102464832	HSA-MIR-6083	2
100616260	MIR4663	1
100616490	MIR4706	1
100616490	MIR-4706	2
109136578	MASCRNA	1
102465861	MIR8055	1
102465861	HSA-MIR-8055	2
100616154	MIR4466	1
100616154	MIR-4466	2
100616116	MIR4648	1
26863	RNVU1-18	1
26863	RNU1-25	2
26863	RNU1-25P	3
26863	RNU1-5	4
26863	RNU1P1	5
26863	RNU1P9	6
26863	U1.15	7
26863	U1P101	8
26863	U1P15	9
26863	VU1.18	10
100616382	MIR4509-3	1
100500889	MIR3657	1
102465440	MIR6735	1
102465440	HSA-MIR-6735	2
100616284	MIR4489	1
100616284	MIR-4489	2
100847021	MIR5002	1
100616329	MIR4700	1
100616329	MIR-4700	2
100423008	MIR3118-1	1
100423008	MIR-3118-1	2
106633803	SNORD134	1
106633803	ZL12	2
100616373	MIR4770	1
102465484	MIR6806	1
102465484	HSA-MIR-6806	2
102465515	MIR6856	1
102465515	HSA-MIR-6856	2
102465868	MIR8066	1
102465868	HSA-MIR-8066	2
102465475	MIR6792	1
102465475	HSA-MIR-6792	2
100302289	MIR1251	1
100302289	MIRN1251	2
100302289	HSA-MIR-1251	3
100616393	MIR4657	1
100616393	MIR-4657	2
100422954	MIR4309	1
109617020	SNORD13E	1
100423028	MIR4254	1
100616207	MIR4439	1
102464823	MIR6068	1
102464823	HSA-MIR-6068	2
100113379	SNORD121A	1
100616231	MIR4519	1
