geneid	genesymbol	count
CTRG_00384	MITOCHONDRIAL PROTEIN IMPORT PROTEIN MAS5	1
CTRG_00385	HYPOTHETICAL PROTEIN	1
CTRG_00386	PREDICTED PROTEIN	1
CTRG_00387	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00388	HYPOTHETICAL PROTEIN	1
CTRG_00389	PREDICTED PROTEIN	1
CTRG_00390	HYPOTHETICAL PROTEIN	1
CTRG_00391	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00392	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00393	NUCLEAR TRANSCRIPTION FACTOR Y SUBUNIT B-1	1
CTRG_00394	HYPOTHETICAL PROTEIN	1
CTRG_00395	HYPOTHETICAL PROTEIN	1
CTRG_00396	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00397	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00398	PREDICTED PROTEIN	1
CTRG_00399	COATOMER BETA SUBUNIT	1
CTRG_00400	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00401	HYPOTHETICAL PROTEIN	1
CTRG_00402	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00403	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00404	PREDICTED PROTEIN	1
CTRG_00405	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00406	PREDICTED PROTEIN	1
CTRG_00407	PREDICTED PROTEIN	1
CTRG_00409	PREDICTED PROTEIN	1
CTRG_00408	PREDICTED PROTEIN	1
CTRG_00410	TRANSCRIPTION INITIATION FACTOR TFIID SUBUNIT 5	1
CTRG_00412	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00411	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00413	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00414	HEXOKINASE	1
CTRG_00415	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00416	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00417	STRUCTURE-SPECIFIC ENDONUCLEASE RAD27	1
CTRG_00418	CELL DIVISION CONTROL PROTEIN 10	1
CTRG_00419	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00420	PYRIDOXAMINE 5'-PHOSPHATE OXIDASE	1
CTRG_00421	ENDOSOMAL P24B PROTEIN PRECURSOR	1
CTRG_00422	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00423	HYPOTHETICAL PROTEIN	1
CTRG_00424	PREDICTED PROTEIN	1
CTRG_00425	PREDICTED PROTEIN	1
CTRG_00426	HYPOTHETICAL PROTEIN	1
CTRG_00427	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00428	HYPOTHETICAL PROTEIN	1
CTRG_00429	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00430	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00431	PREDICTED PROTEIN	1
