geneid	genesymbol	count
CAALFM_C101930WA	HYPOTHETICAL PROTEIN	1
CAALFM_C101940CA	CAO19.4529	1
CAALFM_C101950CA	CAO19.4528	1
CAALFM_C101970WA	HYPOTHETICAL PROTEIN	1
CAALFM_C101980WA	HGT1	1
CAALFM_C101980WA	CAO19.4527	2
CAALFM_C101990WA	HSP30	1
CAALFM_C101990WA	CAO19.4526	2
CAALFM_C102000WA	CAO19.4525	1
CAALFM_C102010CA	ZCF24	1
CAALFM_C102010CA	CAO19.4524	2
CAALFM_C102020WA	CAO19.4523	1
CAALFM_C102030CA	CAO19.4522	1
CAALFM_C102040CA	CAO19.3661	1
CAALFM_C102050CA	PHO91	1
CAALFM_C102050CA	CAO19.3663	2
CAALFM_C102060WA	HYPOTHETICAL PROTEIN	1
CAALFM_C102070WA	HSP31	1
CAALFM_C102070WA	CAO19.3664	2
CAALFM_C102080WA	SET6	1
CAALFM_C102080WA	CAO19.3665	2
CAALFM_C102090CA	CAO19.3666	1
CAALFM_C102100WA	CAO19.3667	1
CAALFM_C102110CA	HGT2	1
CAALFM_C102110CA	CAO19.3668	2
CAALFM_C102120CA	SHA3	1
CAALFM_C102120CA	CAO19.3669	2
CAALFM_C102130CA	GAL1	1
CAALFM_C102130CA	CAO19.3670	2
CAALFM_C102150WA	GAL10	1
CAALFM_C102150WA	CAO19.3672	2
CAALFM_C102160WA	CAO19.3673	1
CAALFM_C102170CA	GAL102	1
CAALFM_C102170CA	CAO19.3674	2
CAALFM_C102180WA	GAL7	1
CAALFM_C102180WA	CAO19.3675	2
CAALFM_C102190WA	ABP140	1
CAALFM_C102190WA	CAO19.3676	2
CAALFM_C102200CA	CAO19.3677	1
CAALFM_C102210WA	CAO19.3678	1
CAALFM_C102220CA	CAO19.3679	1
CAALFM_C102230WA	SEP7	1
CAALFM_C102230WA	CAO19.3680	2
CAALFM_C102240WA	CAO19.3681	1
CAALFM_C102250WA	CWH8	1
CAALFM_C102250WA	CAO19.3682	2
CAALFM_C102260CA	AGE3	1
CAALFM_C102260CA	CAO19.3683	2
CAALFM_C102270CA	CAO19.3684	1
CAALFM_C102280CA	PSY2	1
CAALFM_C102280CA	CAO19.3685	2
CAALFM_C102290CA	CAO19.3686	1
CAALFM_C102300WA	CAO19.3687	1
CAALFM_C102310CA	CAO19.3688	1
CAALFM_C102320CA	CAO19.3690	1
CAALFM_C102330CA	RIBOSOMAL 60S SUBUNIT PROTEIN L26B	1
CAALFM_C102350WA	TIM21	1
CAALFM_C102350WA	CAO19.3691	2
CAALFM_C102360CA	PGA5	1
CAALFM_C102360CA	CAO19.3693	2
CAALFM_C102370CA	CAO19.3694	1
CAALFM_C102380CA	CAO19.2925	1
CAALFM_C102390WA	CAO19.2926	1
CAALFM_C102400CA	MNN11	1
CAALFM_C102400CA	CAO19.2927	2
CAALFM_C102410CA	CAO19.2928	1
CAALFM_C102420CA	GSC1	1
CAALFM_C102420CA	CAO19.2929	2
CAALFM_C102430CA	CAO19.2930	1
CAALFM_C102440CA	CAO19.2933	1
CAALFM_C102450CA	CAO19.2934	1
CAALFM_C102460WA	RPL10	1
CAALFM_C102460WA	CAO19.2935	2
CAALFM_C102470WA	CAO19.2936	1
CAALFM_C102480WA	PMM1	1
CAALFM_C102480WA	CAO19.2937	2
CAALFM_C102490CA	CAO19.2938	1
CAALFM_C102500WA	CAO19.2939	1
CAALFM_C102510WA	CAO19.2940	1
CAALFM_C102520WA	SCW4	1
CAALFM_C102520WA	CAO19.2941	2
CAALFM_C102530CA	DIP5	1
CAALFM_C102530CA	CAO19.2942	2
CAALFM_C102570CA	PUT4	1
CAALFM_C102570CA	CAO19.2945	2
CAALFM_C102580WA	HNM4	1
CAALFM_C102580WA	CAO19.2946	2
CAALFM_C102590CA	SNZ1	1
CAALFM_C102590CA	CAO19.2947	2
CAALFM_C102600WA	SNO1	1
CAALFM_C102600WA	CAO19.2948	2
CAALFM_C102610WA	IML1	1
CAALFM_C102610WA	CAO19.2949	2
CAALFM_C102620CA	HOM6	1
CAALFM_C102620CA	CAO19.2951	2
CAALFM_C102630CA	EXG2	1
CAALFM_C102630CA	CAO19.2952	2
CAALFM_C102640CA	TOM20	1
CAALFM_C102640CA	CAO19.2953	2
CAALFM_C102650WA	CAO19.2954	1
CAALFM_C102660CA	MGM101	1
CAALFM_C102660CA	CAO19.2956	2
CAALFM_C102670CA	CAO19.2957	1
CAALFM_C102680CA	CAO19.2958	1
CAALFM_C102690CA	CAO19.2959	1
CAALFM_C102700CA	HYPOTHETICAL PROTEIN	1
CAALFM_C102710WA	FRS2	1
CAALFM_C102710WA	CAO19.2960	2
CAALFM_C102720WA	CAO19.2961	1
CAALFM_C102730WA	CAO19.2962	1
CAALFM_C102740CA	CAO19.2963	1
CAALFM_C102750CA	CAO19.2964	1
CAALFM_C102760WA	CAO19.2965	1
CAALFM_C102770WA	HYPOTHETICAL PROTEIN	1
CAALFM_C102780WA	CAO19.2966	1
CAALFM_C102790WA	TIF34	1
CAALFM_C102790WA	CAO19.2967	2
CAALFM_C102800WA	CAO19.2968	1
CAALFM_C102810WA	RAD16	1
CAALFM_C102810WA	CAO19.2969	2
CAALFM_C102820WA	LYS2	1
CAALFM_C102820WA	CAO19.2970	2
CAALFM_C102830WA	CAO19.2971	1
CAALFM_C102840WA	PDE2	1
CAALFM_C102840WA	CAO19.2972	2
CAALFM_C102850WA	CAO19.2973	1
CAALFM_C102860CA	YKT6	1
CAALFM_C102860CA	CAO19.2974	2
CAALFM_C102870WA	YPT7	1
CAALFM_C102870WA	CAO19.2975	2
CAALFM_C102880CA	MIA40	1
CAALFM_C102880CA	CAO19.2977	2
CAALFM_C102890CA	CAO19.2978	1
CAALFM_C102900CA	CAO19.2980	1
CAALFM_C102910CA	CAO19.2982	1
CAALFM_C102920WA	CDC73	1
CAALFM_C102920WA	CAO19.2983	2
CAALFM_C102930CA	MST1	1
CAALFM_C102930CA	CAO19.2984	2
CAALFM_C102940CA	CAO19.2985	1
CAALFM_C102950WA	CAO19.2986	1
CAALFM_C102960CA	CAO19.2987	1
CAALFM_C102970WA	CAO19.2988	1
CAALFM_C102980WA	GOR1	1
CAALFM_C102980WA	CAO19.2989	2
CAALFM_C102990CA	XOG1	1
CAALFM_C102990CA	CAO19.2990	2
CAALFM_C103000WA	HOL1	1
CAALFM_C103000WA	CAO19.2991	2
CAALFM_C103010WA	RPP1A	1
CAALFM_C103010WA	CAO19.2992	2
CAALFM_C103020CA	RPL13	1
CAALFM_C103020CA	CAO19.2994	2
CAALFM_C103030WA	RPS16A	1
CAALFM_C103040WA	CAO19.2995	1
CAALFM_C103050WA	CAO19.2996	1
CAALFM_C103060CA	TSR2	1
CAALFM_C103060CA	CAO19.2998	2
CAALFM_C103070CA	ORC1	1
CAALFM_C103070CA	CAO19.3000	2
CAALFM_C103080CA	TEM1	1
CAALFM_C103080CA	CAO19.3001	2
CAALFM_C103090WA	RPS1	1
CAALFM_C103090WA	CAO19.3002	2
CAALFM_C103100WA	CAO19.3003	1
CAALFM_C103110WA	RPL6	1
CAALFM_C103120WA	CAO19.3004	1
CAALFM_C103130CA	GGA2	1
CAALFM_C103130CA	CAO19.3006	2
CAALFM_C103140WA	CAO19.3007	1
CAALFM_C103150CA	HYPOTHETICAL PROTEIN	1
CAALFM_C103160CA	COQ4	1
CAALFM_C103160CA	CAO19.3008	2
CAALFM_C103170CA	CAO19.3009	1
CAALFM_C103180WA	CAO19.3010	1
CAALFM_C103190CA	ECM33	1
CAALFM_C103200CA	ARO80	1
CAALFM_C103200CA	CAO19.3012	2
CAALFM_C103210CA	CDC12	1
CAALFM_C103210CA	CAO19.3013	2
CAALFM_C103220CA	BMH1	1
CAALFM_C103220CA	CAO19.3014	2
CAALFM_C103230CA	ARX1	1
CAALFM_C103230CA	CAO19.3015	2
CAALFM_C103240WA	CAO19.3016	1
CAALFM_C103250CA	SPP1	1
CAALFM_C103250CA	CAO19.3018	2
CAALFM_C103260WA	CAO19.3019	1
CAALFM_C103270WA	CAO19.3021	1
CAALFM_C103280WA	CAO19.3022	1
CAALFM_C103290WA	NGG1	1
CAALFM_C103290WA	CAO19.3023	2
CAALFM_C103300CA	MAS1	1
CAALFM_C103300CA	CAO19.3026	2
CAALFM_C103310WA	CAO19.3027	1
CAALFM_C103320CA	EHD3	1
CAALFM_C103320CA	CAO19.3029	2
CAALFM_C103330CA	CAO19.3030	1
CAALFM_C103340CA	SEC62	1
CAALFM_C103340CA	CAO19.3031	2
CAALFM_C103350CA	RLI1	1
CAALFM_C103350CA	CAO19.3034	2
CAALFM_C103360WA	CAO19.3035	1
CAALFM_C103370WA	CAO19.3037	1
CAALFM_C103380WA	TPS2	1
CAALFM_C103380WA	CAO19.3038	2
CAALFM_C103390WA	EHT1	1
CAALFM_C103390WA	CAO19.3040	2
CAALFM_C103400WA	CAO19.3041	1
CAALFM_C103410WA	CAO19.3042	1
CAALFM_C103430WA	CAO19.3043	1
CAALFM_C103440CA	CAO19.3045	1
CAALFM_C103450CA	CAO19.3047	1
CAALFM_C103460CA	CAO19.3048	1
CAALFM_C103470CA	CAO19.3049	1
CAALFM_C103480CA	AGE1	1
CAALFM_C103480CA	CAO19.3050	2
CAALFM_C103490WA	CAO19.3051	1
CAALFM_C103500WA	YPT1	1
CAALFM_C103500WA	CAO19.3052	2
CAALFM_C103510CA	CAO19.3053	1
CAALFM_C103520WA	RPN3	1
CAALFM_C103520WA	CAO19.3054	2
CAALFM_C103530WA	MED17	1
CAALFM_C103530WA	CAO19.3055	2
CAALFM_C103540CA	CAO19.3057	1
CAALFM_C103550CA	COQ6	1
CAALFM_C103550CA	CAO19.3058	2
CAALFM_C103560CA	SUA71	1
CAALFM_C103560CA	CAO19.3059	2
CAALFM_C103580WA	HYPOTHETICAL PROTEIN	1
CAALFM_C103600WA	CAO19.3060	1
CAALFM_C103610CA	IMP1	1
CAALFM_C103610CA	CAO19.3061	2
CAALFM_C103620CA	HYPOTHETICAL PROTEIN	1
CAALFM_C103630WA	CAO19.3062	1
CAALFM_C103640CA	HFL1	1
CAALFM_C103640CA	CAO19.3063	2
CAALFM_C103650CA	MRPL27	1
CAALFM_C103650CA	CAO19.3064	2
CAALFM_C103660WA	HYPOTHETICAL PROTEIN	1
CAALFM_C103670CA	DAO1	1
CAALFM_C103670CA	CAO19.3065	2
CAALFM_C103680WA	ENG1	1
CAALFM_C103680WA	CAO19.3066	2
CAALFM_C103690WA	CAO19.71	1
CAALFM_C103710CA	MSB1	1
CAALFM_C103710CA	CAO19.1133	2
CAALFM_C103720CA	CAO19.1130	1
CAALFM_C103730CA	MNS1	1
CAALFM_C103730CA	CAO19.1036	2
CAALFM_C103740WA	WAR1	1
CAALFM_C103740WA	CAO19.1035	2
CAALFM_C103750WA	CAO19.1034	1
CAALFM_C103760CA	STR2	1
CAALFM_C103760CA	CAO19.1033	2
CAALFM_C103770WA	SKO1	1
CAALFM_C103770WA	CAO19.1032	2
CAALFM_C103780CA	HMG1	1
CAALFM_C103780CA	CAO19.1031	2
CAALFM_C103790CA	CAO19.1030	1
CAALFM_C103800WA	RPP1	1
CAALFM_C103800WA	CAO19.1029	2
CAALFM_C103810CA	ELA1	1
CAALFM_C103810CA	CAO19.1028	2
CAALFM_C103820WA	PDR16	1
CAALFM_C103820WA	CAO19.1027	2
CAALFM_C103830CA	CAO19.1026	1
CAALFM_C103840WA	HYPOTHETICAL PROTEIN	1
CAALFM_C103860CA	BNI4	1
CAALFM_C103860CA	CAO19.4457	2
CAALFM_C103870CA	CAO19.4459	1
CAALFM_C103880CA	CAO19.4461	1
CAALFM_C103890WA	CAO19.4463	1
CAALFM_C103900WA	SEN15	1
CAALFM_C103900WA	CAO19.4464	2
CAALFM_C103910CA	CAO19.4465	1
CAALFM_C103920CA	CAO19.4466	1
CAALFM_C103930WA	CAO19.4467	1
CAALFM_C103940WA	CAO19.4468	1
CAALFM_C103950CA	CAO19.4470	1
CAALFM_C103960CA	CAO19.4471	1
CAALFM_C103980WA	SPC19	1
CAALFM_C103980WA	CAO19.4473	2
CAALFM_C103990WA	CAO19.4474	1
CAALFM_C104000CA	KTR4	1
CAALFM_C104000CA	CAO19.4475	2
CAALFM_C104010CA	CAO19.4476	1
CAALFM_C104020CA	CSH1	1
CAALFM_C104020CA	CAO19.4477	2
CAALFM_C104030WA	CAO19.4478	1
CAALFM_C104040CA	CAO19.4479	1
CAALFM_C104050CA	MFALPHA	1
CAALFM_C104050CA	CAO19.4481	2
CAALFM_C104060WA	IFI3	1
CAALFM_C104060WA	CAO19.1038	2
CAALFM_C104070CA	BET4	1
CAALFM_C104070CA	CAO19.1039	2
CAALFM_C104080WA	MAD2	1
CAALFM_C104080WA	CAO19.1040	2
CAALFM_C104090CA	CAO19.1041	1
CAALFM_C104100CA	POR1	1
CAALFM_C104100CA	CAO19.1042	2
CAALFM_C104110WA	CAO19.1043	1
CAALFM_C104120CA	CAO19.1045	1
CAALFM_C104130WA	ERB1	1
CAALFM_C104130WA	CAO19.1047	2
CAALFM_C104140WA	IFD6	1
CAALFM_C104140WA	CAO19.1048	2
CAALFM_C104150CA	CAO19.1049	1
CAALFM_C104160CA	CAO19.1050	1
CAALFM_C104170CA	HTA2	1
CAALFM_C104170CA	CAO19.1051	2
CAALFM_C104180WA	CAO19.1052	1
CAALFM_C104190CA	CAO19.1053	1
CAALFM_C104200CA	CAO19.1054	1
CAALFM_C104210CA	CDC3	1
CAALFM_C104210CA	CAO19.1055	2
CAALFM_C104220CA	CAO19.1057	1
CAALFM_C104230WA	CAO19.1058	1
CAALFM_C104240CA	HHF1	1
CAALFM_C104240CA	CAO19.1059	2
CAALFM_C104260WA	HHT21	1
CAALFM_C104260WA	CAO19.1061	2
CAALFM_C104270CA	CAO19.1062	1
CAALFM_C104280CA	CAO19.1063	1
CAALFM_C104290CA	ACS2	1
CAALFM_C104290CA	CAO19.1064	2
CAALFM_C104300CA	SSA2	1
CAALFM_C104300CA	CAO19.1065	2
CAALFM_C104310CA	GIG1	1
CAALFM_C104310CA	CAO19.1066	2
CAALFM_C104320WA	GPM2	1
CAALFM_C104320WA	CAO19.1067	2
CAALFM_C104330WA	RPN4	1
CAALFM_C104330WA	CAO19.1069	2
CAALFM_C104340CA	CAO19.1070	1
CAALFM_C104350CA	CAO19.5203	1
CAALFM_C104360CA	HYPOTHETICAL PROTEIN	1
CAALFM_C104370CA	CAO19.5201	1
CAALFM_C104380WA	SIT4	1
CAALFM_C104380WA	CAO19.5200	2
CAALFM_C104390CA	NOP4	1
CAALFM_C104390CA	CAO19.5198	2
CAALFM_C104400CA	APE2	1
CAALFM_C104400CA	CAO19.5197	2
CAALFM_C104410CA	ESS1	1
CAALFM_C104410CA	CAO19.5196	2
CAALFM_C104420CA	URA6	1
CAALFM_C104420CA	CAO19.5195	2
CAALFM_C104430CA	SEPIAPTERIN REDUCTASE FAMILY PROTEIN	1
CAALFM_C104440WA	CAO19.6836	1
CAALFM_C104450CA	FMA1	1
CAALFM_C104450CA	CAO19.5193	2
CAALFM_C104460CA	CAO19.6838	1
CAALFM_C104470CA	CAO19.6840	1
CAALFM_C104480CA	TUS1	1
CAALFM_C104480CA	CAO19.6842	2
CAALFM_C104490WA	CAO19.6843	1
CAALFM_C104500WA	ICL1	1
CAALFM_C104500WA	CAO19.6844	2
CAALFM_C104510WA	CAO19.6845	1
CAALFM_C104520CA	PHO85	1
CAALFM_C104520CA	CAO19.6846	2
CAALFM_C104530CA	CAO19.6847	1
CAALFM_C104540CA	VPS16	1
CAALFM_C104540CA	CAO19.6848	2
CAALFM_C104550WA	ELC1	1
CAALFM_C104550WA	CAO19.6849	2
CAALFM_C104560WA	CAO19.6850	1
CAALFM_C104570CA	CHL4	1
CAALFM_C104570CA	CAO19.6851	2
CAALFM_C104580CA	CAO19.6852	1
CAALFM_C104590WA	HYPOTHETICAL PROTEIN	1
CAALFM_C104600CA	CAO19.6853	1
CAALFM_C104610WA	ATP1	1
CAALFM_C104610WA	CAO19.6854	2
CAALFM_C104620WA	CAO19.6855	1
CAALFM_C104630CA	CAO19.783	1
CAALFM_C104640WA	CAO19.782	1
CAALFM_C104650WA	DUR3	1
CAALFM_C104650WA	CAO19.781	2
CAALFM_C104660WA	DUR1	1
CAALFM_C104660WA	2	2
CAALFM_C104660WA	CAO19.780	3
CAALFM_C104670WA	HAT1	1
CAALFM_C104670WA	CAO19.779	2
CAALFM_C104680WA	PIL1	1
CAALFM_C104680WA	CAO19.778	2
CAALFM_C104690CA	CAO19.776	1
CAALFM_C104700CA	CAO19.775	1
CAALFM_C104710CA	CAO19.773	1
CAALFM_C104720WA	HYPOTHETICAL PROTEIN	1
CAALFM_C104730CA	LYS21	1
CAALFM_C104730CA	CAO19.772	2
