pathway	geneid
hsa00230	221823
hsa00230	2272
hsa00230	22875
hsa00230	22978
hsa00230	2618
hsa00230	26289
hsa00230	270
hsa00230	271
hsa00230	27115
hsa00230	272
hsa00230	2766
hsa00230	2977
hsa00230	2982
hsa00230	2983
hsa00230	2984
hsa00230	2986
hsa00230	2987
hsa00230	29922
hsa00230	3000
hsa00230	30833
hsa00230	318
hsa00230	3251
hsa00230	353
hsa00230	3614
hsa00230	3615
hsa00230	3704
hsa00230	374659
hsa00230	377841
hsa00230	390877
hsa00230	471
hsa00230	4830
hsa00230	4831
hsa00230	4832
hsa00230	4833
hsa00230	4860
hsa00230	4881
hsa00230	4882
hsa00230	4907
hsa00230	50484
hsa00230	50808
hsa00230	50940
hsa00230	51251
hsa00230	51292
hsa00230	5136
hsa00230	5137
hsa00230	5138
hsa00230	5139
hsa00230	5140
hsa00230	5141
hsa00230	5142
hsa00230	5143
hsa00230	5144
hsa00230	5145
hsa00230	5146
hsa00230	5147
hsa00230	5148
hsa00230	5149
hsa00230	5150
hsa00230	5151
hsa00230	5152
hsa00230	5153
hsa00230	5158
hsa00230	5167
hsa00230	5169
hsa00230	51816
hsa00230	5198
hsa00230	5236
hsa00230	5313
hsa00230	5315
hsa00230	53343
hsa00230	5471
hsa00230	55276
hsa00230	55811
hsa00230	55821
hsa00230	5631
hsa00230	5634
hsa00230	56953
hsa00230	56985
hsa00230	58497
hsa00230	6240
hsa00230	6241
hsa00230	646625
hsa00230	654364
hsa00230	7498
hsa00230	84284
hsa00230	84618
hsa00230	8622
hsa00230	8654
hsa00230	8833
hsa00230	9060
hsa00230	9061
hsa00230	93034
hsa00230	953
hsa00230	954
hsa00230	955
hsa00230	956
hsa00230	957
hsa00230	9583
hsa00230	9615
hsa00232	10
hsa00232	1544
hsa00232	1548
hsa00232	7498
hsa00232	9
hsa00240	100526794
hsa00240	10201
hsa00240	115024
hsa00240	124583
hsa00240	129607
hsa00240	139596
hsa00240	1503
hsa00240	151531
hsa00240	1633
hsa00240	1635
hsa00240	1723
hsa00240	1806
hsa00240	1807
hsa00240	1841
hsa00240	1854
hsa00240	1890
hsa00240	221264
hsa00240	22978
hsa00240	29922
hsa00240	30833
hsa00240	318
hsa00240	377841
hsa00240	4830
hsa00240	4831
hsa00240	4832
hsa00240	4833
hsa00240	4860
hsa00240	4907
hsa00240	50484
hsa00240	51251
hsa00240	5167
hsa00240	5169
hsa00240	51727
hsa00240	51733
hsa00240	54963
hsa00240	56474
hsa00240	56953
hsa00240	6240
hsa00240	6241
hsa00240	654364
hsa00240	7083
hsa00240	7084
hsa00240	7298
hsa00240	7371
hsa00240	7372
hsa00240	7378
hsa00240	790
hsa00240	79077
hsa00240	83549
hsa00240	84618
hsa00240	93034
hsa00240	953
hsa00240	955
hsa00240	956
hsa00240	957
hsa00240	9583
hsa00240	978
hsa00250	122622
hsa00250	1373
hsa00250	158
hsa00250	159
hsa00250	18
hsa00250	189
hsa00250	2346
hsa00250	2571
hsa00250	2572
hsa00250	259307
hsa00250	2673
hsa00250	27165
hsa00250	2744
hsa00250	2746
hsa00250	2747
hsa00250	2752
hsa00250	2805
hsa00250	2806
hsa00250	284716
hsa00250	2875
hsa00250	339983
hsa00250	435
hsa00250	440
hsa00250	443
hsa00250	445
hsa00250	5471
hsa00250	56954
hsa00250	57494
hsa00250	64902
hsa00250	790
hsa00250	7915
hsa00250	80150
hsa00250	84706
hsa00250	8528
hsa00250	8659
hsa00250	9945
hsa00260	102724560
hsa00260	10993
hsa00260	113675
hsa00260	132158
hsa00260	1491
hsa00260	1610
hsa00260	1738
hsa00260	1757
hsa00260	189
hsa00260	211
hsa00260	212
hsa00260	23464
hsa00260	2593
hsa00260	26227
hsa00260	2628
hsa00260	2653
hsa00260	27232
hsa00260	2731
hsa00260	275
hsa00260	29958
hsa00260	29968
hsa00260	314
hsa00260	4128
hsa00260	4129
hsa00260	441531
hsa00260	501
hsa00260	51268
hsa00260	5223
hsa00260	5224
hsa00260	55349
hsa00260	5723
hsa00260	635
